sample_id,group,dataset,IPS_raw,IPS_normalized
GSM648629,sepsis,GSE26440,661.662197885122,1.0
GSM648630,normal,GSE26440,7.741261197242515,0.0016150791685792252
GSM648631,normal,GSE26440,17.732382408658896,0.01686919354240634
GSM648632,normal,GSE26440,19.984345064861518,0.02030741585964239
GSM648633,sepsis,GSE26440,215.94139338772328,0.3194881748778533
GSM648634,sepsis,GSE26440,409.7357216721482,0.6153669642645491
GSM648635,sepsis,GSE26440,373.9838412871324,0.5607821723345646
GSM648636,sepsis,GSE26440,349.4439265107293,0.523315439742482
GSM648637,normal,GSE26440,7.893310543020184,0.001847223095359725
GSM648638,normal,GSE26440,9.554259647687168,0.004383105412826289
GSM648639,normal,GSE26440,8.921478618978224,0.0034169962063355557
GSM648640,normal,GSE26440,10.007438344901182,0.005075003702598367
GSM648641,normal,GSE26440,12.957578831602799,0.009579180906612573
GSM648642,sepsis,GSE26440,265.790293193127,0.39559583116093416
GSM648643,sepsis,GSE26440,113.27000163381913,0.16273287989209279
GSM648644,sepsis,GSE26440,32.0230649626828,0.038687736381226835
GSM648645,sepsis,GSE26440,485.0285918650979,0.7303216354324463
GSM648646,sepsis,GSE26440,108.221158663352,0.15502447294783545
GSM648647,sepsis,GSE26440,213.37177404142813,0.3155649648020115
GSM648648,sepsis,GSE26440,414.94061308089636,0.6233136208181371
GSM648649,sepsis,GSE26440,271.00500717600664,0.4035574844967728
GSM648650,sepsis,GSE26440,352.15714414934376,0.5274578909553868
GSM648651,sepsis,GSE26440,149.10551041250818,0.21744535289560213
GSM648652,sepsis,GSE26440,358.11904432562136,0.5365603235302574
GSM648653,sepsis,GSE26440,401.7908183826893,0.6032369479328564
GSM648654,sepsis,GSE26440,459.4059660571968,0.6912018553436119
GSM648655,sepsis,GSE26440,128.09615142584371,0.18536895645100931
GSM648656,sepsis,GSE26440,110.34553688335431,0.15826790355541875
GSM648657,sepsis,GSE26440,204.8722207682225,0.30258812716663513
GSM648658,sepsis,GSE26440,151.2660011907894,0.2207439189662292
GSM648659,sepsis,GSE26440,122.54747733270476,0.17689742383231594
GSM648660,sepsis,GSE26440,343.50671478159796,0.5142507006745273
GSM648661,sepsis,GSE26440,172.20606669174728,0.25271452040203746
GSM648662,sepsis,GSE26440,127.2525816536429,0.18408102194244275
GSM648663,sepsis,GSE26440,98.72044563666635,0.14051909761754988
GSM648664,sepsis,GSE26440,448.0284524880989,0.6738310428391576
GSM648665,sepsis,GSE26440,152.62726550446123,0.22282225242794643
GSM648666,sepsis,GSE26440,107.87348096213145,0.15449365009948612
GSM648667,sepsis,GSE26440,154.1177924322642,0.22509793978603745
GSM648668,normal,GSE26440,9.111109219242579,0.0037065179530945346
GSM648669,normal,GSE26440,8.319647239825635,0.0024981399041157717
GSM648670,sepsis,GSE26440,49.53013893483828,0.06541695956562384
GSM648671,normal,GSE26440,6.6834186149818615,0.0
GSM648672,normal,GSE26440,7.995622895035536,0.0020034302203132412
GSM648673,normal,GSE26440,8.788566644215692,0.003214070586499995
GSM648674,normal,GSE26440,12.157060688158865,0.008356976205055718
GSM648675,sepsis,GSE26440,147.1204855929442,0.2144146824641479
GSM648676,normal,GSE26440,15.943030292773244,0.014137269741944325
GSM648677,normal,GSE26440,9.771554966944118,0.00471486474020341
GSM648678,normal,GSE26440,8.789218116817793,0.0032150652333843214
GSM648679,normal,GSE26440,9.72129932489974,0.004638136083283594
GSM648680,sepsis,GSE26440,513.8110076742577,0.774265678690203
GSM648681,normal,GSE26440,53.40041386408233,0.07132596769189747
GSM648682,sepsis,GSE26440,58.26363029965722,0.07875096616435807
GSM648683,sepsis,GSE26440,194.23421069006835,0.28634636420446963
GSM648684,sepsis,GSE26440,261.3606238726052,0.3888327581260216
GSM648685,sepsis,GSE26440,375.2267303450888,0.5626797743596889
GSM648686,normal,GSE26440,12.075705704824838,0.008232766099463162
GSM648687,normal,GSE26440,9.661202525207203,0.004546382271412768
GSM648688,normal,GSE26440,10.946189310574137,0.006508257718429278
GSM648689,normal,GSE26440,15.355557829542335,0.013240336159018866
GSM648690,normal,GSE26440,8.851105960595204,0.0033095535522980643
GSM648691,normal,GSE26440,9.697908644461007,0.004602423963778292
GSM648692,normal,GSE26440,7.8527279794586775,0.001785262975664353
GSM648693,normal,GSE26440,12.594957499489048,0.009025542615433384
GSM648694,normal,GSE26440,7.061391942976897,0.0005770772122055938
GSM648695,sepsis,GSE26440,144.62914907715728,0.21061099203227915
GSM648696,sepsis,GSE26440,179.33312962376635,0.2635958850471042
GSM648697,sepsis,GSE26440,279.31409909402146,0.4162435320161655
GSM648698,sepsis,GSE26440,133.41264790437697,0.1934860079445822
GSM648699,normal,GSE26440,14.42489202384498,0.0118194262988026
GSM648700,normal,GSE26440,16.082364268450892,0.014350000260989402
GSM648701,normal,GSE26440,12.386931851112458,0.008707935915856951
GSM648702,sepsis,GSE26440,361.04815179284446,0.5410323882137684
GSM648703,normal,GSE26440,13.776350647616116,0.0108292547134704
GSM648704,sepsis,GSE26440,33.00333878342205,0.04018438612281326
GSM648705,sepsis,GSE26440,425.26894259758524,0.6390825737118446
GSM648706,sepsis,GSE26440,78.35614500830523,0.10942755500138515
GSM648707,sepsis,GSE26440,39.454338999710856,0.05003356050900837
GSM648708,sepsis,GSE26440,266.3914193724875,0.3965136107873678
GSM648709,sepsis,GSE26440,92.66341870582546,0.13127142865094552
GSM648710,sepsis,GSE26440,345.18258745277143,0.5168093678011797
