threshold,TP,TN,FP,FN,sensitivity,specificity,Youden,accuracy
0.5665665665665666,36,21,0,46,0.43902439024390244,1.0,0.4390243902439024,0.5533980582524272
0.5675675675675675,36,21,0,46,0.43902439024390244,1.0,0.4390243902439024,0.5533980582524272
0.5685685685685685,36,21,0,46,0.43902439024390244,1.0,0.4390243902439024,0.5533980582524272
0.5695695695695696,34,21,0,48,0.4146341463414634,1.0,0.41463414634146334,0.5339805825242718
0.5705705705705706,34,21,0,48,0.4146341463414634,1.0,0.41463414634146334,0.5339805825242718
0.5715715715715716,34,21,0,48,0.4146341463414634,1.0,0.41463414634146334,0.5339805825242718
0.5725725725725725,33,21,0,49,0.4024390243902439,1.0,0.4024390243902438,0.5242718446601942
0.5735735735735735,33,21,0,49,0.4024390243902439,1.0,0.4024390243902438,0.5242718446601942
0.5745745745745746,33,21,0,49,0.4024390243902439,1.0,0.4024390243902438,0.5242718446601942
0.5755755755755756,33,21,0,49,0.4024390243902439,1.0,0.4024390243902438,0.5242718446601942
0.5765765765765766,33,21,0,49,0.4024390243902439,1.0,0.4024390243902438,0.5242718446601942
0.5775775775775776,32,21,0,50,0.3902439024390244,1.0,0.3902439024390243,0.5145631067961165
0.5785785785785785,32,21,0,50,0.3902439024390244,1.0,0.3902439024390243,0.5145631067961165
0.5795795795795796,32,21,0,50,0.3902439024390244,1.0,0.3902439024390243,0.5145631067961165
0.5805805805805806,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5815815815815816,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5825825825825826,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5835835835835835,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5845845845845846,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5855855855855856,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5865865865865866,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5875875875875876,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5885885885885885,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5895895895895896,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5905905905905906,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5915915915915916,31,21,0,51,0.3780487804878049,1.0,0.37804878048780477,0.5048543689320388
0.5925925925925926,30,21,0,52,0.36585365853658536,1.0,0.36585365853658525,0.49514563106796117
0.5935935935935935,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5945945945945946,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5955955955955956,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5965965965965966,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5975975975975976,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5985985985985985,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.5995995995995996,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.6006006006006006,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.6016016016016016,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.6026026026026026,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.6036036036036035,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
0.6046046046046046,29,21,0,53,0.35365853658536583,1.0,0.3536585365853657,0.4854368932038835
