sample_id,Mars_Type,cohort,IPS_score,IPS_group
GSM1691973,Mars4,Validation,0.020873435598626575,Low
GSM1691977,Mars4,Validation,0.07248337135436454,Low
GSM1691980,Mars1,Validation,0.14456679016579754,Low
GSM1691981,Mars1,Validation,0.08708878484240819,Low
GSM1691983,Mars2,Validation,0.04155918039292978,Low
GSM1691984,Mars1,Validation,0.5504206676884889,High
GSM1691985,Mars2,Validation,0.03483799400514879,Low
GSM1691986,Mars2,Validation,0.010388076766714388,Low
GSM1691987,Mars2,Validation,0.07940666301155329,Low
GSM1691989,Mars3,Validation,0.04127980090324125,Low
GSM1691990,Mars2,Validation,0.02722700635746041,Low
GSM1691991,Mars2,Validation,0.006794736907557745,Low
GSM1691992,Mars2,Validation,0.02013408984929978,Low
GSM1691993,Mars3,Validation,0.009935107719626201,Low
GSM1691994,Mars2,Validation,0.12014185268473948,Low
GSM1691995,Mars1,Validation,0.01782156482457671,Low
GSM1691997,Mars4,Validation,0.02904733664045753,Low
GSM1692000,Mars3,Validation,0.017404737030925734,Low
GSM1692002,Mars2,Validation,0.007494717054188296,Low
GSM1692004,Mars4,Validation,0.012560302645234722,Low
GSM1692005,Mars3,Validation,0.008710539919696898,Low
GSM1692006,Mars1,Validation,0.3478271639272304,High
GSM1692007,Mars2,Validation,0.010160952214329097,Low
GSM1692008,Mars1,Validation,0.1065595590208361,Low
GSM1692009,Mars2,Validation,0.007110534563288357,Low
GSM1692011,Mars1,Validation,0.17235464325441535,Low
GSM1692012,Mars1,Validation,0.11342182190440735,Low
GSM1692016,Mars4,Validation,0.052260569948671336,Low
GSM1692017,Mars2,Validation,0.05019008385951859,Low
GSM1692019,Mars1,Validation,0.04506329338282051,Low
GSM1692022,Mars1,Validation,0.12164989479521218,Low
GSM1692023,Mars1,Validation,0.049360448460350835,Low
GSM1692024,Mars1,Validation,0.2266042748459147,Low
GSM1692025,Mars3,Validation,0.027630076268887395,Low
GSM1692029,Mars1,Validation,0.06578110766483411,Low
GSM1692030,Mars1,Validation,0.1856628282360423,Low
GSM1692032,Mars1,Validation,0.04788486325163996,Low
GSM1692033,Mars3,Validation,0.04014787210018531,Low
GSM1692034,Mars2,Validation,0.03437415286287785,Low
GSM1692035,Mars3,Validation,0.02328921153945374,Low
GSM1692038,Mars1,Validation,0.16531474921514647,Low
GSM1692040,Mars4,Validation,0.02925270714172065,Low
GSM1692041,Mars3,Validation,0.04266518940501727,Low
GSM1692042,Mars3,Validation,0.10867172107838464,Low
GSM1692043,Mars1,Validation,0.05100835398335701,Low
GSM1692045,Mars2,Validation,0.08496819817460115,Low
GSM1692047,Mars2,Validation,0.0650379351946834,Low
